report_date,account_id,campaign_id,impressions,clicks,costs,conversions
2020-04-01 00:00:00,1001289337,24471016,450,0,0.0,0
2020-04-01 00:00:00,1001396452,30245154,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30423076,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,297,1,42.815,0
2020-04-01 00:00:00,1001396452,30279305,858,0,0.0,0
2020-04-01 00:00:00,1001396452,30413682,1042,2,247.541,0
2020-04-01 00:00:00,1001388197,30411164,455,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,3500,4,392.219,0
2020-04-01 00:00:00,1001289337,28439198,437,2,623.19,2
2020-04-01 00:00:00,1001718067,30376558,4008,5,75.206,0
2020-04-01 00:00:00,1001289337,24471016,447,0,0.0,0
2020-04-01 00:00:00,1001396452,30354006,965,0,0.0,0
2020-04-01 00:00:00,1001718067,30376558,4091,6,134.804,0
2020-04-01 00:00:00,1001854178,30284389,150,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,48939,60,4476.597,0
2020-04-01 00:00:00,1001396452,30136449,2266,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,1714,0,0.0,0
2020-04-01 00:00:00,1001854178,30284391,6521,17,2966.436,0
2020-04-01 00:00:00,1001718067,30376558,676,4,60.619,0
2020-04-01 00:00:00,1001718067,30376558,663,1,21.803,0
2020-04-01 00:00:00,1001396452,30136449,5567,8,691.663,0
2020-04-01 00:00:00,1001289337,24471016,559,0,0.0,0
2020-04-01 00:00:00,1001396452,30145511,6314,5,417.149,0
2020-04-01 00:00:00,1001396452,30299635,2321,1,20.122,0
2020-04-01 00:00:00,1001396452,30145511,1719,2,151.705,0
2020-04-01 00:00:00,1001396452,30417042,4493,2,177.14,0
2020-04-01 00:00:00,1001396452,30299635,3898,5,356.205,0
2020-04-01 00:00:00,1001396452,30417042,2328,5,328.555,0
2020-04-01 00:00:00,1001396452,30423076,0,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,279,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,168,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,259,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,1203,2,123.511,1
2020-04-01 00:00:00,1001289337,26114546,497,4,774.755,0
2020-04-01 00:00:00,1001289337,24471016,571,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,1809,1,147.81,0
2020-04-01 00:00:00,1001289337,24471016,456,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,629,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,765,3,139.189,0
2020-04-01 00:00:00,1001854178,30305888,7101,14,4617.645,0
2020-04-01 00:00:00,1001854178,30284389,154,1,57.035,0
2020-04-01 00:00:00,1001396452,30145511,3121,6,533.376,0
2020-04-01 00:00:00,1001396452,30145511,7933,7,476.194,0
2020-04-01 00:00:00,1001854178,30305886,7780,10,2802.197,0
2020-04-01 00:00:00,1001854178,30284391,64,1,1494.857,0
2020-04-01 00:00:00,1001289337,30161119,65,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,430,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,507,0,0.0,0
2020-04-01 00:00:00,1001854178,30284389,145,4,879.697,1
2020-04-01 00:00:00,1001289337,28439198,161,2,143.115,0
2020-04-01 00:00:00,1001289337,30161119,117,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,13,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,699,2,169.004,0
2020-04-01 00:00:00,1001388197,30411164,10544,12,877.061,2
2020-04-01 00:00:00,1001718067,30376558,9295,2,50.576,0
2020-04-01 00:00:00,1001388197,30411164,1090,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,749,2,112.889,0
2020-04-01 00:00:00,1001396452,30413682,504,0,0.0,0
2020-04-01 00:00:00,1001854178,30305888,6733,17,5577.671,0
2020-04-01 00:00:00,1001289337,24471016,599,0,0.0,0
2020-04-01 00:00:00,1001854178,30284389,323,1,155.508,0
2020-04-01 00:00:00,1001289337,28439198,43,0,0.0,0
2020-04-01 00:00:00,1001396452,30279306,1369,0,0.0,0
2020-04-01 00:00:00,1001396452,30279305,616,0,0.0,0
2020-04-01 00:00:00,1001396452,30279306,393,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,14695,12,2682.81,0
2020-04-01 00:00:00,1001289337,24471016,131,0,0.0,0
2020-04-01 00:00:00,1001289337,24471016,1072,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,525,1,89.207,0
2020-04-01 00:00:00,1001388197,30356586,2,0,0.0,0
2020-04-01 00:00:00,1001388197,30411164,1588,0,0.0,0
2020-04-01 00:00:00,1001388197,30411163,2747,3,291.515,0
2020-04-01 00:00:00,1001388197,30411164,2898,4,616.611,0
2020-04-01 00:00:00,1001289337,24471017,95,1,61.146,0
2020-04-01 00:00:00,1001396452,30279304,355,1,34.75,0
2020-04-01 00:00:00,1001396452,30136449,7356,10,984.699,0
2020-04-01 00:00:00,1001396452,30375895,1,0,0.0,0
2020-04-01 00:00:00,1001396452,30354007,61935,28,1615.331,0
2020-04-01 00:00:00,1001388197,30411164,1181,2,157.982,0
2020-04-01 00:00:00,1001388197,30411164,18529,9,1285.716,1
2020-04-01 00:00:00,1001388197,30411164,878,0,0.0,0
2020-04-01 00:00:00,1001854178,30284389,339,2,657.082,0
2020-04-01 00:00:00,1001289337,24471016,152,0,0.0,0
2020-04-01 00:00:00,1001289337,28439198,266,0,0.0,0
2020-04-01 00:00:00,1001396452,30375895,0,0,0.0,0
2020-04-01 00:00:00,1001396452,30299635,2206,0,0.0,0
2020-04-01 00:00:00,1001396452,30299635,3879,3,178.995,0
2020-04-01 00:00:00,1001289337,24471016,1,0,0.0,0
2020-04-01 00:00:00,1001718067,30376558,11456,5,157.49,0
2020-04-01 00:00:00,1001388197,30411164,16529,1,39.968,0
2020-04-01 00:00:00,1001388197,30411163,102903,7,677.984,0
